curves,energy,count
0,96.707474,44
0,96.784326,44
0,96.86117899999999,44
0,96.938032,48
0,97.014886,54
0,97.091739,56
0,97.168592,52
0,97.245445,51
0,97.322298,58
0,97.399151,52
0,97.476004,53
0,97.552857,59
0,97.62971,63
0,97.706563,67
0,97.783416,64
0,97.860269,70
0,97.937122,76
0,98.013975,81
0,98.090828,81
0,98.167681,81
0,98.244534,81
0,98.321387,85
0,98.39824,84
0,98.475093,88
0,98.551946,90
0,98.628799,94
0,98.705652,93
0,98.782505,104
0,98.859358,120
0,98.936211,115
0,99.013064,111
0,99.089917,124
0,99.16677,131
0,99.243623,138
0,99.320476,122
0,99.397329,129
0,99.474182,135
0,99.551035,131
0,99.627888,120
0,99.704741,124
0,99.781555,131
0,99.857562,124
0,99.931347,131
0,100.00147,136
0,100.06672,138
0,100.12793,132
0,100.18718,124
0,100.24653,129
0,100.30787,125
0,100.37207,134
0,100.43961,132
0,100.51095,137
0,100.58601,133
0,100.66268,138
0,100.73837,135
0,100.81051,146
0,100.87796,143
0,100.94281,142
0,101.00755,142
0,101.07467,152
0,101.14471,137
0,101.21544,140
0,101.2844,146
0,101.34928,148
0,101.41086,137
0,101.47282,148
0,101.53894,149
0,101.61251,150
0,101.69128,153
0,101.76964,152
0,101.84195,156
0,101.90388,150
0,101.9596,154
0,102.0166,158
0,102.08236,146
0,102.16182,136
0,102.24993,139
0,102.33929,140
0,102.42247,139
0,102.495,142
0,102.55942,152
0,102.61933,149
0,102.6783,159
0,102.7394,159
0,102.80493,163
0,102.87714,159
0,102.95809,162
0,103.04576,162
0,103.13413,155
0,103.21695,158
0,103.2886,163
0,103.35064,150
0,103.40926,152
0,103.47077,150
0,103.54042,147
0,103.61649,151
0,103.69435,140
0,103.76935,137
0,103.83803,137
0,103.90189,136
0,103.9637,146
0,104.02626,145
0,104.09132,145
0,104.1581,143
0,104.22543,147
0,104.29213,150
0,104.35799,141
0,104.4244,143
0,104.49289,160
0,104.5649,160
0,104.64005,158
0,104.71598,167
0,104.79024,173
0,104.86053,166
0,104.92621,177
0,104.98785,170
0,105.04605,165
0,105.10174,172
0,105.15855,186
0,105.22125,176
0,105.29465,174
0,105.38154,167
0,105.47579,173
0,105.56879,170
0,105.65193,169
0,105.72042,178
0,105.77986,180
0,105.83764,195
0,105.90109,187
0,105.97404,170
0,106.05427,181
0,106.1389,183
0,106.22514,210
0,106.31146,201
0,106.39778,208
0,106.48409,222
0,106.57041,203
0,106.65673,204
0,106.74304,196
0,106.82936,151
0,106.91568,116
0,107.00199,80
